#burst	Time	Periodo Hlp(ms)	Periodo Hpd(ms)	Intervalo HlpFSlp(ms)	Intervalo HlpLSlp(ms)	Intervalo HpdFSpd(ms)	Intervalo HpdLSpd(ms)	Intervalo FSlpHlp(ms)	Intervalo LSlpHlp(ms)	Intervalo FSpdHpd(ms)	Intervalo LSpdHpd(ms)	Intervalo HlpHpd(ms)	Intervalo HpdHlp(ms)	Intervalo FSlpHpd(ms)	Intervalo LSlpHpd(ms)	Intervalo FSpdHlp(ms)	Intervalo LSpdHlp(ms)	Intervalo HlpFSpd(ms)	Intervalo HlpLSpd(ms)	Intervalo HpdFSlp(ms)	Intervalo HpdLSlp(ms)	t1LP	fst2fstLP	LPPD1spkperiod
0	587043.9	1100.0	1122.4	146.3	308.70000000000005	819.2	939.0	953.7	791.3000000000001	305.5	186.4	187.0	913.0	1163.1000000000001	1000.7	1218.5	1099.4	1006.2	1126.0	1077.8	1259.0	587189.2088	1118.300016	859.500013
1	588143.9	1059.6000000000001	993.0	164.8	346.0	731.1	853.5	894.8000000000001	713.6	303.2	183.4	209.4	850.2	1037.6000000000001	856.4000000000001	1153.4	1033.6000000000001	940.5	1062.9	980.4000000000001	1141.7	588307.5088	1025.100016	775.600012
2	589203.5	1021.4000000000001	1050.3	130.20000000000002	291.5	765.7	886.3000000000001	891.2	729.9000000000001	261.90000000000003	139.5	142.8	878.6	1062.9	901.6	1140.5	1018.1	908.5	1029.1000000000001	1009.8000000000001	1178.3	589332.6088	1022.400015	778.100011
3	590224.9	764.9000000000001	771.8000000000001	131.20000000000002	299.7	488.1	604.9	633.7	465.20000000000005	284.6	164.0	171.70000000000002	593.2	812.3000000000001	643.8000000000001	877.8000000000001	757.2	659.8000000000001	776.6	711.5	909.4000000000001	590355.0088	752.000011	528.400008
4	590989.8	757.7	797.8000000000001	118.30000000000001	316.20000000000005	473.40000000000003	590.4	639.4000000000001	441.5	283.7	166.9	178.60000000000002	579.1	858.1	660.2	862.8000000000001	746.0	652.0	769.0	687.0	878.8000000000001	591107.0088	747.300011	533.600008
5	591747.5	788.1	740.1	107.9	299.7	456.8	580.4	680.2	488.40000000000003	324.40000000000003	207.4	218.70000000000002	569.4	850.9000000000001	659.1	893.8000000000001	776.8000000000001	675.5	799.1	697.4000000000001	846.7	591854.3088	808.200012	567.500009
6	592535.6	1051.2	1060.9	128.0	277.3	763.4000000000001	890.6	923.2	773.9000000000001	283.3	159.70000000000002	170.70000000000002	880.5	1103.6000000000001	954.3000000000001	1163.8	1040.2	934.1	1061.3	1012.4000000000001	1171.9	592662.5088	1055.100016	805.900012
7	593586.8	1014.6	1034.9	131.9	291.40000000000003	730.6	858.5	882.7	723.2	297.5	170.3	180.4	834.2	1083.4	923.9000000000001	1131.7	1004.5	911.0	1038.9	989.0	1166.4	593717.6088	1037.500016	778.900012
8	594601.4	1079.7	1066.0	154.8	332.20000000000005	748.1	877.7	924.9000000000001	747.5	304.3	176.4	200.70000000000002	879.0	1111.9	934.5	1183.3	1055.4	948.8000000000001	1078.4	1014.3000000000001	1192.4	594755.1089	1060.300015	793.700011
9	595681.1	1065.3	1046.5	135.3	313.40000000000003	764.8000000000001	889.1	930.0	751.9000000000001	317.90000000000003	188.3	187.0	878.3000000000001	1098.2	920.1	1196.2	1066.6000000000001	951.8000000000001	1076.1000000000001	1005.7	1192.1000000000001	595815.4089	1057.300016	816.300013
10	596746.4	1011.2	1008.8000000000001	127.4	313.8	719.5	845.9000000000001	883.8000000000001	697.4000000000001	281.7	157.4	168.20000000000002	843.0	1049.6000000000001	863.2	1124.7	1000.4000000000001	887.7	1014.1	965.9000000000001	1158.3	596872.7089	1006.800015	760.000011
11	597757.6	928.0	982.5	122.9	315.3	650.8000000000001	769.2	805.1	612.7	289.3	162.9	165.8	762.2	1025.4	833.0	1051.5	925.1	816.6	935.0	888.9000000000001	1044.4	597879.5089	931.700014	693.50001
